line_qual,Pres,T,T_err,Dust,Dust_err,H2Ovap,H2Ovap_err,H2Oice,H2Oice_err,CO2ice,CO2ice_err,Alt,Lat,Lon,Prof#
0,1.512,150.85299999999998,1.238,,,,,,,,,56.019,58.726000000000006,128.143,1403
0,1.3344,150.487,1.4340000000000002,,,,,,,,,57.011,58.758,128.196,1403
0,1.1776,150.52700000000002,1.4509999999999998,,,,,,,,,58.003,58.79,128.249,1403
0,1.0392,150.93,1.3019999999999998,,,,,,,,,58.997,58.821999999999996,128.30200000000002,1403
0,0.9171,151.71,1.24,,,,,,,,,59.996,58.854,128.356,1403
0,0.80934,152.879,1.3459999999999999,,,,,,,,,61.001000000000005,58.887,128.41,1403
0,0.71424,154.365,1.5859999999999999,,,,,,,,,62.016000000000005,58.919,128.465,1403
0,0.63031,155.94,1.719,,,,,,,,,63.042,58.953,128.52100000000002,1403
0,0.55625,157.32399999999998,1.735,,,,,,,,,64.077,58.986000000000004,128.577,1403
0,0.49088999999999994,158.33700000000002,1.801,,,,,,,,,65.122,59.02,128.634,1403
0,0.43321000000000004,158.933,2.021,,,,,,,,,66.172,59.053999999999995,128.692,1403
0,0.3823,159.179,1.969,,,,,,,,,67.226,59.088,128.75,1403
0,0.33738,159.10399999999998,1.815,,,,,,,,,68.281,59.123000000000005,128.809,1403
0,0.29774,158.694,1.7990000000000002,,,,,,,,,69.336,59.157,128.868,1403
0,0.26275,157.96,2.165,,,,,,,,,70.387,59.191,128.92600000000002,1403
0,0.23188000000000003,157.026,2.563,,,,,,,,,71.433,59.225,128.985,1403
0,0.20463,156.136,2.64,,,,,,,,,72.47399999999999,59.25899999999999,129.04399999999998,1403
0,0.18059,155.465,2.721,,,,,,,,,73.51,59.293,129.102,1403
0,0.15937,155.094,3.025,,,,,,,,,74.543,59.327,129.161,1403
0,0.14064000000000002,154.988,3.557,,,,,,,,,75.575,59.361000000000004,129.22,1403
0,0.12412000000000001,155.097,3.322,,,,,,,,,76.608,59.395,129.279,1403
0,0.10953,155.435,3.153,,,,,,,,,77.643,59.428999999999995,129.339,1403
0,0.096661,156.012,3.236,,,,,,,,,78.682,59.463,129.399,1403
0,0.085303,156.75799999999998,3.7310000000000003,,,,,,,,,79.726,59.498000000000005,129.459,1403
0,0.07528,157.453,3.839,,,,,,,,,80.775,59.532,129.52,1403
0,0.066434,157.833,3.8560000000000003,,,,,,,,,81.829,59.567,129.582,1403
0,0.058628,157.75799999999998,4.203,,,,,,,,,82.884,59.602,129.644,1403
0,0.051739,157.268,4.842,,,,,,,,,83.93700000000001,59.637,129.70600000000002,1403
0,0.04566,156.59,5.022,,,,,,,,,84.988,59.672,129.769,1403
0,0.040293999999999996,155.95600000000002,4.896,,,,,,,,,86.035,59.707,129.83100000000002,1403
0,0.03556,155.488,5.078,,,,,,,,,87.079,59.742,129.893,1403
0,0.031381,155.185,5.7010000000000005,,,,,,,,,88.12,59.777,129.95600000000002,1403
0,0.027694,154.953,5.746,,,,,,,,,89.161,59.81100000000001,130.019,1403
0,0.02444,154.71200000000002,5.461,,,,,,,,,90.20100000000001,59.846000000000004,130.082,1403
0,0.021568,154.42600000000002,5.528,,,,,,,,,91.23899999999999,59.881,130.145,1403
0,0.019034,154.099,6.626,,,,,,,,,92.27600000000001,59.916000000000004,130.208,1403
0,0.016797,153.761,7.706,,,,,,,,,93.31200000000001,59.951,130.27200000000002,1403
0,0.014824,153.44299999999998,8.519,,,,,,,,,94.346,59.985,130.335,1403
0,0.013082,153.16899999999998,9.229,,,,,,,,,95.37799999999999,60.02,130.399,1403
0,0.011545,152.94299999999998,9.863,,,,,,,,,96.40899999999999,60.055,130.463,1403
0,0.010188,,,,,,,,,,,97.44,60.09,130.528,1403
0,0.0089909,,,,,,,,,,,98.47,60.125,130.592,1403
0,0.0079345,,,,,,,,,,,99.5,60.159,130.657,1403
0,0.0070021,,,,,,,,,,,100.529,60.193999999999996,130.722,1403
0,0.0061794,,,,,,,,,,,101.557,60.229,130.78799999999998,1403
0,0.0054533,,,,,,,,,,,102.586,60.263999999999996,130.85299999999998,1403
0,0.0048125,,,,,,,,,,,103.615,60.299,130.91899999999998,1403
0,0.004247,,,,,,,,,,,104.64299999999999,60.333999999999996,130.986,1403
0,1878.9,,,,,,,,,,,,,,1600
0,1658.2,,,,,,,,,,,,,,1600
0,1463.3,,,,,,,,,,,,,,1600
0,1291.4,,,,,,,,,,,,,,1600
0,1139.6,,,,,,,,,,,,,,1600
0,1005.7,,,,,,,,,,,,,,1600
0,887.54,,,,,,,,,,,,,,1600
0,783.26,,,,,,,,,,,0.713,57.72,96.402,1600
0,691.22,,,,,,,,,,,2.015,57.76,96.458,1600
0,610.0,,,,,,,,,,,3.3089999999999997,57.8,96.514,1600
0,538.32,,,,,,,,,,,4.591,57.84,96.57,1600
0,475.07,,,,,,,,,,,5.856,57.88,96.625,1600
0,419.25,,,,,,,,,,,7.105,57.918,96.679,1600
0,369.98,,,,,,,,,,,8.339,57.957,96.734,1600
0,326.51,,,,,,,,,,,9.556000000000001,57.995,96.787,1600
0,288.14,,,,,,,,,,,10.758,58.032,96.84100000000001,1600
0,254.29,,,,,,,,,,,11.948,58.07,96.89399999999999,1600
0,224.41,,,,,,,,,,,13.128,58.107,96.946,1600
0,198.04,,,,,,,,,,,14.298,58.143,96.999,1600
0,174.77,,,,,,,,,,,15.459000000000001,58.18,97.051,1600
0,154.23,,,,,,,,,,,16.61,58.216,97.103,1600
0,136.11,,,,,,,,,,,17.750999999999998,58.251999999999995,97.155,1600
0,120.12,,,,,,,,,,,18.881,58.287,97.206,1600
0,106.0,,,,,,,,,,,20.0,58.323,97.257,1600
0,93.54700000000001,,,,,,,,,,,21.107,58.358000000000004,97.30799999999999,1600
0,82.555,,,,,,,,,,,22.201999999999998,58.391999999999996,97.359,1600
0,72.854,166.577,0.159,3.6735e-05,4.4448e-06,,,0.0020344,0.00012528,,,23.284000000000002,58.427,97.40899999999999,1600
0,64.294,164.61900000000003,0.18600000000000003,9.2711e-06,1.7162e-06,,,0.0016777,9.4835e-05,,,24.354,58.461000000000006,97.458,1600
0,56.739,162.816,0.248,1.3358000000000002e-06,1.0489e-06,,,0.00077374,4.2236999999999996e-05,,,25.413,58.494,97.508,1600
0,50.071999999999996,161.33,0.28800000000000003,1.5997e-07,1.0085e-06,,,0.00029986,1.9363e-05,,,26.462,58.528,97.557,1600
0,44.188,160.251,0.315,2.5190000000000003e-08,1.0127e-06,,,0.00012746,1.4424000000000001e-05,,,27.503,58.56100000000001,97.60600000000001,1600
0,38.996,159.618,0.345,5.320600000000001e-09,1.017e-06,,,5.6277e-05,1.2234e-05,,,28.54,58.593999999999994,97.654,1600
0,34.414,159.378,0.40399999999999997,1.3906e-09,1.0214e-06,,,1.7598e-05,1.3192999999999999e-05,,,29.573,58.626999999999995,97.70299999999999,1600
0,30.37,159.393,0.433,1e-09,1.0259e-06,,,2.6826e-06,1.3548e-05,,,30.607,58.66,97.75200000000001,1600
0,26.802,159.485,0.42,1e-09,1.0306e-06,,,4.6051000000000004e-07,8.097e-06,,,31.642,58.693000000000005,97.802,1600
0,23.651999999999997,159.539,0.4,1e-09,1.0366e-06,,,1.0048e-07,3.0394e-06,,,32.678000000000004,58.726000000000006,97.851,1600
0,20.873,159.494,0.40700000000000003,1e-09,1.0427e-06,,,2.1811e-08,1.0431e-06,,,33.715,58.75899999999999,97.90100000000001,1600
0,18.42,159.361,0.424,1e-09,1.0488e-06,,,3.2154e-09,1.0589e-06,,,34.751,58.792,97.95100000000001,1600
0,16.256,159.22799999999998,0.353,1e-09,1.0543e-06,,,1e-09,1.0751e-06,,,35.788000000000004,58.826,98.001,1600
0,14.345999999999998,159.173,0.305,1e-09,1.0571e-06,,,1e-09,1.0862e-06,,,36.824,58.858999999999995,98.051,1600
0,12.66,159.225,0.29600000000000004,1e-09,1.0571e-06,,,1e-09,1.0862e-06,,,37.861,58.893,98.102,1600
0,11.173,159.374,0.331,1e-09,1.0571e-06,,,1e-09,1.0862e-06,,,38.9,58.926,98.152,1600
0,9.8597,159.55100000000002,0.337,1e-09,1.0571e-06,,,1e-09,1.0862e-06,,,39.94,58.96,98.20299999999999,1600
0,8.7012,159.673,0.297,1e-09,1.0571e-06,,,1e-09,1.0862e-06,,,40.981,58.993,98.255,1600
0,7.6788,159.687,0.28300000000000003,,,,,,,,,42.023999999999994,59.027,98.306,1600
0,6.7765,159.56799999999998,0.32,,,,,,,,,43.067,59.06100000000001,98.35799999999999,1600
0,5.9802,159.313,0.348,,,,,,,,,44.11,59.095,98.41,1600
0,5.2775,158.92600000000002,0.319,,,,,,,,,45.151,59.128,98.462,1600
0,4.6574,158.411,0.293,,,,,,,,,46.18899999999999,59.162,98.514,1600
0,4.1101,157.767,0.307,,,,,,,,,47.225,59.196000000000005,98.566,1600
0,3.6272,157.001,0.4,,,,,,,,,48.256,59.23,98.618,1600
0,3.201,156.129,0.42700000000000005,,,,,,,,,49.283,59.263000000000005,98.67,1600
0,2.8249,155.159,0.419,,,,,,,,,50.303999999999995,59.29600000000001,98.72200000000001,1600
0,2.4929,154.09799999999998,0.431,,,,,,,,,51.32,59.33,98.774,1600
0,2.2,152.955,0.528,,,,,,,,,52.328,59.363,98.82600000000001,1600
0,1.9415,151.785,0.685,,,,,,,,,53.33,59.396,98.87799999999999,1600
0,1.7134,150.707,0.764,,,,,,,,,54.325,59.428000000000004,98.929,1600
0,1.512,149.82299999999998,0.82,,,,,,,,,55.31399999999999,59.461000000000006,98.98100000000001,1600
0,1.3344,149.18200000000002,0.925,,,,,,,,,56.298,59.493,99.03200000000001,1600
0,1.1776,148.792,1.169,,,,,,,,,57.28,59.526,99.083,1600
0,1.0392,148.662,1.288,,,,,,,,,58.26,59.558,99.135,1600
0,0.9171,148.85,1.3219999999999998,,,,,,,,,59.24100000000001,59.59,99.18700000000001,1600
0,0.80934,149.411,1.3719999999999999,,,,,,,,,60.226000000000006,59.623000000000005,99.23899999999999,1600
0,0.71424,150.364,1.5590000000000002,,,,,,,,,61.215,59.656000000000006,99.291,1600
0,0.63031,151.638,1.791,,,,,,,,,62.213,59.68899999999999,99.344,1600
0,0.55625,153.055,1.82,,,,,,,,,63.22,59.722,99.398,1600
0,0.49088999999999994,154.452,1.785,,,,,,,,,64.237,59.756,99.45299999999999,1600
0,0.43321000000000004,155.734,1.829,,,,,,,,,65.264,59.79,99.508,1600
0,0.3823,156.876,2.128,,,,,,,,,66.29899999999999,59.825,99.565,1600
0,0.33738,157.877,2.141,,,,,,,,,67.342,59.86,99.62100000000001,1600
0,0.29774,158.671,2.0469999999999997,,,,,,,,,68.391,59.895,99.679,1600
0,0.26275,159.19,2.036,,,,,,,,,69.446,59.93,99.73700000000001,1600
0,0.23188000000000003,159.422,2.4419999999999997,,,,,,,,,70.503,59.966,99.795,1600
0,0.20463,159.526,2.778,,,,,,,,,71.563,60.001000000000005,99.853,1600
0,0.18059,159.784,2.786,,,,,,,,,72.624,60.037,99.912,1600
0,0.15937,160.36700000000002,2.812,,,,,,,,,73.689,60.073,99.97200000000001,1600
0,0.14064000000000002,161.341,3.0410000000000004,,,,,,,,,74.76,60.108999999999995,100.03200000000001,1600
0,0.12412000000000001,162.613,3.1710000000000003,,,,,,,,,75.83800000000001,60.145,100.09299999999999,1600
0,0.10953,164.02599999999998,2.802,,,,,,,,,76.92699999999999,60.181999999999995,100.154,1600
0,0.096661,165.49200000000002,2.5660000000000003,,,,,,,,,78.025,60.218999999999994,100.21700000000001,1600
0,0.085303,166.96599999999998,2.73,,,,,,,,,79.135,60.257,100.28,1600
0,0.07528,168.343,2.9410000000000003,,,,,,,,,80.25399999999999,60.295,100.344,1600
0,0.066434,169.351,2.951,,,,,,,,,81.382,60.333,100.40899999999999,1600
0,0.058628,169.726,3.0269999999999997,,,,,,,,,82.515,60.372,100.475,1600
0,0.051739,169.33700000000002,3.523,,,,,,,,,83.649,60.411,100.54,1600
0,0.04566,168.543,3.761,,,,,,,,,84.78,60.449,100.60700000000001,1600
0,0.040293999999999996,167.731,3.681,,,,,,,,,85.906,60.488,100.67299999999999,1600
0,0.03556,167.112,3.786,,,,,,,,,87.02799999999999,60.526,100.73899999999999,1600
0,0.031381,166.703,4.1739999999999995,,,,,,,,,88.148,60.565,100.805,1600
0,0.027694,166.36,4.078,,,,,,,,,89.265,60.603,100.87200000000001,1600
